tag,group,ai_dense,ai_dram,ai_noc,acc_tot_cycles,acc_mem_cycles,ops,ops_per_cycle,dram_bw_B_per_cycle,noc_bw_B_per_cycle,ddr_words,noc_p0,noc_p3,noc_p4,mem_bound_pct,llc_hit_rate_pct,mem_coh_reqs,class
ob_in3_h224,output_h,49.34715063653086,0.12265312370551945,76324.05633802817,21659492,21659486,86704128,4.003054549940506,32.63720017071499,5.244813682610839e-05,88363147,0,0,142,99.99997229851928,0.0,296826492,memory-stall
as_in3_out512,asymmetric,53.229814152685556,0.12510086083301214,133802.66666666666,9235670,9235668,86704128,9.387962973991058,75.04315247296623,7.016274942695007e-05,86634224,0,0,81,99.99997834483042,0.0,287038140,dram
vk_k1,vary_k,55.01754385964912,0.09064807793321082,2418.120481927711,7687566,7687564,1605632,0.208860906039701,2.30408532427559,8.63732421939532e-05,2214101,0,0,83,99.9999739839632,0.0,9439341,latency-stall
wb_h7_c512_k1,weight_h,82.25573770491803,0.9289223130722846,45875.2,7805011,7805010,25690112,3.2914895315330113,3.543342091382062,7.174877780441309e-05,3456978,0,0,70,99.99998718771825,0.0,13609080,latency-stall
vh_h007,vary_h,83.75074183976261,0.2498864238137583,5644.8,7742756,7742754,3612672,0.466587349517407,1.8671976748330956,8.265790630622998e-05,1807157,0,0,80,99.99997416940428,0.0,8116728,latency-stall
ref_layer4,reference,95.9592010199745,3.5926791893959105,375342.54545454547,9679317,9679315,231211008,23.887120134612804,6.6488319372120985,6.364085399827281e-05,8044519,0,0,77,99.99997933738507,0.0,29044374,latency-stall
wb_h7_c512_k3,weight_h,95.9592010199745,3.5934792274462097,390559.13513513515,9680557,9680555,231211008,23.884060390326713,6.6465001962180486,6.115350593979252e-05,8042728,0,0,74,99.99997934003177,0.0,29051241,latency-stall
as_in8_out512,asymmetric,104.1235877334563,0.2609863332750582,21251.011764705883,7806747,7806744,14450688,1.8510511484488994,7.0925213792633475,8.710414209657364e-05,6921190,0,0,85,99.99996157170202,0.0,24902304,latency-stall
vc_c016,vary_c,105.31343283582089,0.06529830351426058,1612.8,7682391,7682390,903168,0.11756339920735615,1.800405108253407,7.289397272281508e-05,1728927,0,0,70,99.99998698321916,0.0,7852833,latency-stall
ob_in8_h112,output_h,127.3502538071066,0.3277519493565016,168031.2558139535,8203020,8203017,115605504,14.093041830935435,42.99910910859659,8.387154974631295e-05,44090319,0,0,86,99.99996342810331,0.0,148009464,memory-stall
vc_c032,vary_c,166.0235294117647,0.23636458802223456,6102.486486486487,7677039,7677038,3612672,0.47058143120023227,1.990913423782268,7.711306403419339e-05,1910540,0,0,74,99.99998697414459,0.0,8476695,latency-stall
wb_h14_c512_k1,weight_h,222.01769911504425,1.7355622656764704,147644.32183908045,7991480,7991477,102760448,12.858750569356365,7.408982566433251,8.709275378277865e-05,7401092,0,0,87,99.99996246001992,0.0,26541891,latency-stall
ob_in16_h56,output_h,222.23622047244095,0.5914407334203522,95070.31578947368,7720716,7720715,57802752,7.486708745665558,12.658425980181113,7.874917300416179e-05,12216514,0,0,76,99.99998704783339,0.0,42393423,latency-stall
vh_h014,vary_h,233.25619834710744,0.7917515361988005,25441.352112676057,7737428,7737427,14450688,1.8676345679727164,2.3588644702089634,7.3409406846823e-05,2281443,0,0,71,99.99998707580865,0.0,9636138,latency-stall
vc_c064,vary_c,233.25619834710744,0.7864035824773461,24084.48,7733217,7733216,14450688,1.8686515585945669,2.3761991936861464,7.758737405144586e-05,2296958,0,0,75,99.99998706877099,0.0,9762606,latency-stall
